dataset,arm,stage,run_name,fine_tune_mode,num_unfrozen_layers,lr,weight_decay,dropout,batch_size,epochs,seed,n_train,opt_steps,best_dev_acc,best_epoch,wall_seconds,peak_mem_bytes
sst,head_ext,budget,sst-headx-015--seed2,last-linear-layer,0,6.436959145373452e-06,0.0,0.2,8,80,11713,8544,85440,0.4478,79,50.0,50057216
sst,head_ext,budget,sst-headx-016--seed0,last-linear-layer,0,9.919803665445103e-06,0.001,0.5,8,80,11711,8544,85440,0.4514,68,52.3,50057216
sst,head_ext,budget,sst-headx-016--seed1,last-linear-layer,0,9.919803665445103e-06,0.001,0.5,8,80,11712,8544,85440,0.4514,74,51.7,50057216
sst,head_ext,budget,sst-headx-016--seed2,last-linear-layer,0,9.919803665445103e-06,0.001,0.5,8,80,11713,8544,85440,0.4523,68,51.8,50057216
sst,head_ext,budget,sst-headx-017--seed0,last-linear-layer,0,0.00019203511021086684,0.1,0.2,8,5,11711,8544,5340,0.4559,3,3.9,50057216
sst,head_ext,budget,sst-headx-017--seed1,last-linear-layer,0,0.00019203511021086684,0.1,0.2,8,5,11712,8544,5340,0.4450,2,3.2,50057216
sst,head_ext,budget,sst-headx-017--seed2,last-linear-layer,0,0.00019203511021086684,0.1,0.2,8,5,11713,8544,5340,0.4414,3,3.6,50057216
sst,head_ext,budget,sst-headx-018--seed0,last-linear-layer,0,0.0003781996908437071,0.01,0.3,8,80,11711,8544,85440,0.4868,69,52.1,50057216
sst,head_ext,budget,sst-headx-018--seed1,last-linear-layer,0,0.0003781996908437071,0.01,0.3,8,80,11712,8544,85440,0.4850,12,49.5,50057216
sst,head_ext,budget,sst-headx-018--seed2,last-linear-layer,0,0.0003781996908437071,0.01,0.3,8,80,11713,8544,85440,0.4886,22,56.7,50057216
sst,head_ext,budget,sst-headx-019--seed0,last-linear-layer,0,2.8355866995845583e-06,0.001,0.1,8,10,11711,8544,10680,0.2779,8,6.1,50057216
sst,head_ext,budget,sst-headx-019--seed1,last-linear-layer,0,2.8355866995845583e-06,0.001,0.1,8,10,11712,8544,10680,0.3297,9,6.9,50057216
sst,head_ext,budget,sst-headx-019--seed2,last-linear-layer,0,2.8355866995845583e-06,0.001,0.1,8,10,11713,8544,10680,0.2743,9,5.8,50057216
sst,head_ext,budget,sst-headx-020--seed0,last-linear-layer,0,1.5770101527722316e-07,0.1,0.2,8,5,11711,8544,5340,0.2534,0,3.9,50057216
sst,head_ext,budget,sst-headx-020--seed1,last-linear-layer,0,1.5770101527722316e-07,0.1,0.2,8,5,11712,8544,5340,0.2080,0,3.1,50057216
sst,head_ext,budget,sst-headx-020--seed2,last-linear-layer,0,1.5770101527722316e-07,0.1,0.2,8,5,11713,8544,5340,0.1490,0,3.8,50057216
sst,head_ext,budget,sst-headx-021--seed0,last-linear-layer,0,3.4589649968442126e-07,0.001,0.1,8,5,11711,8544,5340,0.2534,0,2.9,50057216
sst,head_ext,budget,sst-headx-021--seed1,last-linear-layer,0,3.4589649968442126e-07,0.001,0.1,8,5,11712,8544,5340,0.2080,0,3.0,50057216
sst,head_ext,budget,sst-headx-021--seed2,last-linear-layer,0,3.4589649968442126e-07,0.001,0.1,8,5,11713,8544,5340,0.1508,3,3.0,50057216
sst,head_ext,budget,sst-headx-022--seed0,last-linear-layer,0,0.011343872558727888,0.1,0.5,8,160,11711,8544,170880,0.4351,4,99.2,50057216
sst,head_ext,budget,sst-headx-022--seed1,last-linear-layer,0,0.011343872558727888,0.1,0.5,8,160,11712,8544,170880,0.4414,14,98.5,50057216
sst,head_ext,budget,sst-headx-022--seed2,last-linear-layer,0,0.011343872558727888,0.1,0.5,8,160,11713,8544,170880,0.4441,126,100.0,50057216
sst,head_ext,budget,sst-headx-023--seed0,last-linear-layer,0,0.00014042474201470564,0.001,0.5,8,10,11711,8544,10680,0.4623,7,5.8,50057216
sst,head_ext,budget,sst-headx-023--seed1,last-linear-layer,0,0.00014042474201470564,0.001,0.5,8,10,11712,8544,10680,0.4450,5,6.0,50057216
sst,head_ext,budget,sst-headx-023--seed2,last-linear-layer,0,0.00014042474201470564,0.001,0.5,8,10,11713,8544,10680,0.4623,9,6.1,50057216
sst,head_ext,budget,sst-headx-024--seed0,last-linear-layer,0,1.1184770570426422e-07,0.0,0.2,8,80,11711,8544,85440,0.2543,54,47.6,50057216
sst,head_ext,budget,sst-headx-024--seed1,last-linear-layer,0,1.1184770570426422e-07,0.0,0.2,8,80,11712,8544,85440,0.2098,65,48.3,50057216
sst,head_ext,budget,sst-headx-024--seed2,last-linear-layer,0,1.1184770570426422e-07,0.0,0.2,8,80,11713,8544,85440,0.2316,79,46.8,50057216
sst,head_ext,budget,sst-headx-025--seed0,last-linear-layer,0,1.3067141057038689e-06,0.01,0.1,8,80,11711,8544,85440,0.3987,79,49.7,50057216
sst,head_ext,budget,sst-headx-025--seed1,last-linear-layer,0,1.3067141057038689e-06,0.01,0.1,8,80,11712,8544,85440,0.3960,76,54.0,50057216
sst,head_ext,budget,sst-headx-025--seed2,last-linear-layer,0,1.3067141057038689e-06,0.01,0.1,8,80,11713,8544,85440,0.3688,78,51.8,50057216
sst,head_ext,budget,sst-headx-026--seed0,last-linear-layer,0,2.8037500194318808e-05,0.001,0.0,8,80,11711,8544,85440,0.4814,74,50.6,50057216
sst,head_ext,budget,sst-headx-026--seed1,last-linear-layer,0,2.8037500194318808e-05,0.001,0.0,8,80,11712,8544,85440,0.4823,78,45.8,50057216
sst,head_ext,budget,sst-headx-026--seed2,last-linear-layer,0,2.8037500194318808e-05,0.001,0.0,8,80,11713,8544,85440,0.4850,67,47.6,50057216
sst,head_ext,budget,sst-headx-027--seed0,last-linear-layer,0,1.366791293278721e-07,0.0,0.5,8,80,11711,8544,85440,0.2543,55,48.6,50057216
sst,head_ext,budget,sst-headx-027--seed1,last-linear-layer,0,1.366791293278721e-07,0.0,0.5,8,80,11712,8544,85440,0.2107,79,48.5,50057216
sst,head_ext,budget,sst-headx-027--seed2,last-linear-layer,0,1.366791293278721e-07,0.0,0.5,8,80,11713,8544,85440,0.2607,76,49.8,50057216
sst,head_ext,budget,sst-headx-028--seed0,last-linear-layer,0,2.3622788742468922e-07,0.0,0.1,8,80,11711,8544,85440,0.2770,79,49.4,50057216
sst,head_ext,budget,sst-headx-028--seed1,last-linear-layer,0,2.3622788742468922e-07,0.0,0.1,8,80,11712,8544,85440,0.3034,78,49.7,50057216
sst,head_ext,budget,sst-headx-028--seed2,last-linear-layer,0,2.3622788742468922e-07,0.0,0.1,8,80,11713,8544,85440,0.2543,63,50.4,50057216
sst,head_ext,budget,sst-headx-029--seed0,last-linear-layer,0,1.8818957413407254e-07,0.0,0.0,8,80,11711,8544,85440,0.2616,78,46.6,50057216
sst,head_ext,budget,sst-headx-029--seed1,last-linear-layer,0,1.8818957413407254e-07,0.0,0.0,8,80,11712,8544,85440,0.3006,79,45.1,50057216
sst,head_ext,budget,sst-headx-029--seed2,last-linear-layer,0,1.8818957413407254e-07,0.0,0.0,8,80,11713,8544,85440,0.2407,71,46.5,50057216
sst,head_ext,budget,sst-headx-030--seed0,last-linear-layer,0,3.835066217743323e-07,0.0,0.1,8,80,11711,8544,85440,0.2797,79,50.8,50057216
sst,head_ext,budget,sst-headx-030--seed1,last-linear-layer,0,3.835066217743323e-07,0.0,0.1,8,80,11712,8544,85440,0.3415,79,46.4,50057216
sst,head_ext,budget,sst-headx-030--seed2,last-linear-layer,0,3.835066217743323e-07,0.0,0.1,8,80,11713,8544,85440,0.2816,76,47.3,50057216
sst,head_ext,budget,sst-headx-031--seed0,last-linear-layer,0,4.2828171162321427e-07,0.0,0.0,8,80,11711,8544,85440,0.3233,79,45.2,50057216
sst,head_ext,budget,sst-headx-031--seed1,last-linear-layer,0,4.2828171162321427e-07,0.0,0.0,8,80,11712,8544,85440,0.3415,70,47.5,50057216
sst,head_ext,budget,sst-headx-031--seed2,last-linear-layer,0,4.2828171162321427e-07,0.0,0.0,8,80,11713,8544,85440,0.2879,79,47.5,50057216
sst,head_ext,budget,sst-headx-032--seed0,last-linear-layer,0,7.274445808744228e-06,0.0,0.2,8,80,11711,8544,85440,0.4505,68,48.3,50057216
sst,head_ext,budget,sst-headx-032--seed1,last-linear-layer,0,7.274445808744228e-06,0.0,0.2,8,80,11712,8544,85440,0.4432,74,47.8,50057216
sst,head_ext,budget,sst-headx-032--seed2,last-linear-layer,0,7.274445808744228e-06,0.0,0.2,8,80,11713,8544,85440,0.4487,79,46.4,50057216
cfimdb,full,seed,cfimdb-full-seed1,full-model,12,1e-05,0.0,0.1,2,5,1,1707,4270,0.9796,2,600.8,2831334400
cfimdb,full,seed,cfimdb-full-seed2,full-model,12,1e-05,0.0,0.1,2,5,2,1707,4270,0.9755,3,601.8,2831764480
cfimdb,full,seed,cfimdb-full-seed3,full-model,12,1e-05,0.0,0.1,2,5,3,1707,4270,0.9714,2,603.1,2828684288
